title,link,score
Joan Feynman 1927-2020,https://www.aps.org/archives/publications/apsnews/202008/feynman.cfm,38 points
Court dismisses Genius lawsuit over lyrics-scraping by Google,https://techcrunch.com/2020/08/11/court-dismisses-genius-lawsuit-over-lyrics-scraping-by-google/,205 points
Facebook's new policy bans blackface and some Jewish stereotypes,https://doi.org/10.1016/j.jasrep.2024.104636,165 points
Parallel Seam Carving,https://v2thegreat.com/2024/06/19/lessons-learned-from-scaling-to-multi-terabyte-datasets/,19 points
Amazon's business model meets Sweden's labor unions,https://hakaimagazine.com/videos-visuals/rice-farming-gets-an-ai-upgrade/,57 points
3D Printing Integrated Circuits: What's Possible Now and in the Future?,https://ocw.mit.edu/courses/18-098-street-fighting-mathematics-january-iap-2008/,40 points
Ask HN: How Belarus can keep connected despite internet blackout?,https://tech.marksblogg.com/yolo-umbra-sar-satellites-ship-detection.html,58 points
Systems Monitoring with Prometheus and Grafana,https://twitter.com/lemire/status/1803598132334436415,138 points
A Keyboard with Blank Keycaps Made Me and Expert Typist,https://futureforum.com/2022/07/15/personal-user-manual/,29 points
JuliaDB,http://www.chrisfenton.com/1-25-scale-cray-c90-wristwatch/,189 points
Predictions as a Substitute for Reviews,https://www.carabinercollection.com/,46 points
Let's Build a 28-Core Raspberry Pi Cluster,https://github.com/home-sweet-gnome/dash-to-panel,108 points
Pumas AI: A platform for pharmaceutical modeling and simulation,https://scottaaronson.blog/?p=710,103 points
Mitochondria may hold keys to anxiety and mental health,https://stackdiary.com/eu-council-has-withdrawn-the-vote-on-chat-control/,201 points
"NetSurf, a multi-platform web browser",https://osrd.fr/en/,188 points
Launch HN: Xkit (YC S18) - OAuth infrastructure as a service,https://english.elpais.com/climate/2024-06-13/the-30-meter-pass-in-the-pyrenees-through-which-millions-of-insects-migrate.html,110 points
A broken cable smashed a hole 100 feet wide in the Arecibo Observatory,https://easyos.org/,46 points
The Sail ISA specification language,https://www.npr.org/2024/06/10/1247296780/screen-apnea-why-screens-cause-shallow-breathing,25 points
Single Page Applications in Rust,https://hypermedia.systems/,752 points
Deplacy: CUI-Based Tree Visualizer for Universal Dependencies,https://github.com/MrKai77/Loop,3 points
Show HN: Radius – A Meetup.com alternative,https://www.radius.to,242 points
Brain circuit scores identify clinically distinct biotypes in depression /anxiety,https://www.nature.com/articles/s41591-024-03057-9,161 points
Astronomers see a black hole awaken in real time,https://www.eso.org/public/germany/news/eso2409/,230 points
"Safe Superintelligence Inc.
                    ",https://ssi.inc,1051 points
How airplanes counteract St. Elmo's Fire during thunderstorms,https://www.technologyreview.com/2024/06/19/1093446/pneumatic-tubes-hospitals/,30 points
"Datadog releases Incident Management, Profiler, Error Tracking, and more",https://salvagedcircuitry.com/2000a-nand-recovery.html,156 points
How to stop procrastinating by using the Fogg Behaviour Model,https://news.mit.edu/2024/computer-science-professor-arvind-dies-0618,585 points
Mozilla lays off 250 employees while it refocuses on commercial products,https://blog.mozilla.org/en/mozilla/changing-world-changing-mozilla/,1312 points
ZX Spectrum Next - Issue 2,https://spectrum.ieee.org/vannevar-bush,24 points
A network of 17th-century female spies (2019),https://www.ycombinator.com/companies/zep-ai/jobs/J5TD9KW-backend-engineer,60 points
